city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,details,price_per_sqm,rooms_per_sqm,bath_per_room,luxury_score,city_encoded,front_encoded,property_age_encoded
الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ...",320.0,0.024,0.8333333333333334,0.7,2,5,0
الرياض,   حي القادسية ,جنوب,380,0,4,5,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,60000,فيلا للايجار درج داخلي مشب خارجي مجلس مقلط وصاله غرف كبار سن مجلس نساء فوق ٤غرف نوم الدور الثالث غرفه شغاله مع السطح السعر ستون الف ريال قابل للتفاوض +شقه للايجار ٣غرف وصاله به السطح خاص الايجار دفعتين 20000الف للاستفسار الرجاء التواصل مع الاخ ابوعبد...,157.89473684210526,0.013157894736842105,1.0,1.0,2,1,0
الرياض,   حي العليا ,غرب,400,11,7,5,2,1,1,1,1,0,0,1,0,1,0,1,1,0,0,70000,"فيلا للايجار حي العليا 

الارضي مجالس وغرفتين ومطبخ دورتين مياه 
العلوي 
غرف نوم وصاله 

للاستفسار ابو احمد 
0533332881",175.0,0.0225,0.5555555555555556,1.0,2,8,2
الرياض,   حي الازدهار ,شرق,250,other,5,4,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,45000,"الفيلا في حي الازدهار 
تتكون من مجلس رجال في الحوش مع دورة مياه
الدور الارضي يتكون من صاله ومجلس نساء ومطبخ ودورة مياه
الدور الاول غرفتين نوم فقط بدورة مياه
السطح غرفة خادمة بدورة مياه
تصلح لعائلة صغيرة ...
ملاحظه// إذا كان دفع الإيجار مقدماً يكون ب ...",180.0,0.024,0.6666666666666666,0.7,2,4,15
الرياض,   حي المهدية ,شمال,250,0,5,5,3,1,1,0,1,0,0,0,0,0,0,1,1,0,0,45000,"دبلكس مساحه ٢٥٠
حي المهديه
دفع كل ٦ شهور",180.0,0.032,0.625,0.7,2,5,0
الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ...",320.0,0.024,0.8333333333333334,0.7,2,5,0
الرياض,   حي الحزم ,جنوب شرقي,288,6,5,5,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,37000,فيلا دبكلوكس علي شارعين قريب من الجامع والخدمات حي هادى,128.47222222222223,0.020833333333333332,0.8333333333333334,0.7,2,2,11
الرياض,   حي العليا ,جنوب غربي,250,0,4,4,4,1,1,0,1,0,1,0,0,1,0,0,1,0,0,150000,"New house for rent 150.000SR
New 
0500069102
New
4 bedrooms
4 bahrooms
4 livingrooms
Kitchen
Garage
No roof
New
0500069102

بيت بناء جديد دورين بدون سطح 
150.000 ريال",600.0,0.032,0.5,0.7,2,3,0
الرياض,   حي العارض ,شمال,290,0,3,5,3,1,1,1,1,1,1,0,0,1,0,1,0,0,0,150000,"دوبلكس للايجار مساحة ٢٩٠م
مؤثث بالكامل 
في حال الاستئجار بدون اثاث متحرك يكون السعر
١٢٠ الف ريال شاملة المطبخ واجهزته والمكيفات والدواليب
تتكون الفيلا من : 
الدور الأرضي / غرفة سائق مجلس رجال + صالة طعام + صالة مفتوحة على مجلس النساء + جلسة خارجية + ...",517.2413793103449,0.020689655172413793,0.8333333333333334,1.0,2,5,0
الرياض,   حي الصحافة ,شرق,400,0,5,4,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,90000,"للايجار فيلا درج صاله بحى الصحافة 
عبارة عن مدخل سيارة حوش واسع 
مجلس رجال ومجلس نساء 
ملقط وصاله مطبخ 
الدور العلوي 
5 غرفه نوم منهم غرفتين نوم ماستر 
وصاله 
السطح غرفه شغاله غرفه غسل 
والسطح واسع 
المطبخ راكبه المكيفات راكبه 
الفيلا مجدي بكامل 
قري...",225.0,0.015,0.6666666666666666,1.0,2,4,0
الرياض,   حي العارض ,جنوب,440,0,5,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,0,90000,فيلا للايجار بحي العارض تتكون من ملحق مجلس مقلط صاله وحوش كبير وفوق خمسه غرف نوم وصاله واربعه دورات مياه والسطح غرفه وصاله ودورتين مياه للتواصل 0540850810,204.54545454545453,0.015909090909090907,0.7142857142857143,1.0,2,1,0
